movieId,rating_count,avg_rating,title,genres,weighted_score
318,317,4.429022082018927,"Shawshank Redemption, The (1994)",Crime|Drama,4.3026644391848725
2959,218,4.272935779816514,Fight Club (1999),Action|Crime|Drama|Thriller,4.129021825301672
858,192,4.2890625,"Godfather, The (1972)",Crime|Drama,4.126354748681191
260,251,4.231075697211155,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,4.109893186647335
296,307,4.197068403908795,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4.0996578408427125
50,204,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.092826177877354
527,220,4.225,Schindler's List (1993),Drama|War,4.091029071040178
2571,278,4.192446043165468,"Matrix, The (1999)",Action|Sci-Fi|Thriller,4.087127588966
1196,211,4.2156398104265405,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,4.078842334026239
356,329,4.164133738601824,Forrest Gump (1994),Comedy|Drama|Romance|War,4.076722557205404
1198,200,4.2075,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,4.066311396723393
593,279,4.161290322580645,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,4.061026897206225
58559,149,4.238255033557047,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,4.053155021009286
1221,129,4.25968992248062,"Godfather: Part II, The (1974)",Crime|Drama,4.047920945144402
1197,142,4.232394366197183,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,4.042072131150251
1213,126,4.25,Goodfellas (1990),Crime|Drama,4.037374143073001
2329,129,4.217054263565892,American History X (1998),Crime|Drama,4.017194688161163
48516,107,4.252336448598131,"Departed, The (2006)",Crime|Drama|Thriller,4.013234708158268
1193,133,4.203007518796992,One Flew Over the Cuckoo's Nest (1975),Drama,4.01135436710846
2028,188,4.1462765957446805,Saving Private Ryan (1998),Action|Drama|War,4.010831299079193
1089,131,4.202290076335878,Reservoir Dogs (1992),Crime|Mystery|Thriller,4.008717398789217
1210,196,4.137755102040816,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,4.0084465413855614
750,97,4.268041237113402,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,4.007332307352708
912,100,4.24,Casablanca (1942),Drama|Romance,3.993852327872321
1208,107,4.219626168224299,Apocalypse Now (1979),Action|Drama|War,3.990941714527695
7153,185,4.118918918918919,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,3.987565315663184
1136,136,4.161764705882353,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,3.98428951172499
4993,198,4.106060606060606,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,3.9841848757292255
608,181,4.116022099447513,Fargo (1996),Comedy|Crime|Drama|Thriller,3.983020992124883
